,Name,Price,Image,Description,
1,Predator Match Fingersave Goalkeeper Gloves,$60 ,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/8f7e3d851c754da19aa122cddc1a01e5_9366/predator-match-fingersave-goalkeeper-gloves.jpg","EXCEL IN TRAINING AND MATCHES IN THESE REINFORCED GOALIE GLOVES.
Stop shots in their tracks in adidas goalkeeper gloves designed to dominate. These Predator Match soccer gloves fit securely with a half-wrap wrist strap. Soft Grip Pro latex in the palm offers cushioning, grip and durability in all weathers. Fingersave spines reinforce the fingers, adding security to every catch and throw.",Gloves
2,Predator Pro Goalkeeper Gloves Kids,$75 ,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/e76a9a7b972e467bb4486a46418a3718_9366/predator-pro-goalkeeper-gloves-kids.jpg","CUSHIONED SOCCER GLOVES FOR CONFIDENT PERFORMANCES BETWEEN THE STICKS.
Stop shots in their tracks in juniors' adidas goalkeeper gloves designed to dominate. Made for matches, these Predator Pro gloves have an elastic wrist strap for a customizable fit. On their flexible Mechano backhand, silicone elements help with punching precision. In the palm, URG 2.0 latex grips and cushions for confident keeping until the final whistle.",Gloves
3,Copa Pro Goalkeeper Gloves Kids,$75 ,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/257b18c3cc5949fbbad6232f57b01021_9366/copa-pro-goalkeeper-gloves-kids.jpg","GRIPPY SOCCER GOALIE GLOVES WITH A CLASSIC FIT AND FEEL.
Keep goal in total comfort. These juniors' adidas Copa Pro goalkeeper gloves come with a classic latex backhand and stretchy wrist strap for a perfect fit. On the palm, URG 2.0 provides superior grip for confident claims. The negative cut ensures a snug fit around the fingers so your handling is always on point.",Gloves
4,Predator Match Fingersave Goalkeeper Gloves,$60 ,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d075e88eff86443496a22f02ffed8375_9366/predator-match-fingersave-goalkeeper-gloves.jpg","EXCEL IN TRAINING AND MATCHES IN THESE REINFORCED GOALIE GLOVES.
Stop shots in their tracks in adidas goalkeeper gloves designed to dominate. These Predator Match soccer gloves fit securely with a half-wrap wrist strap. Soft Grip Pro latex in the palm offers cushioning, grip and durability in all weathers. Fingersave spines reinforce the fingers, adding security to every catch and throw.",Gloves
5,Copa Club Goalkeeper Gloves,$25 ,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/adf137bfcea14b54bcbabac122b78417_9366/copa-club-goalkeeper-gloves.jpg","FOOTBALL GLOVES WITH A POSITIVE FINGER CUT AND A CLASSIC FIT AND FEEL.
Keep goal in total comfort. These adidas Copa Club goalkeeper gloves come with a flexible backhand for a traditional feel and an elastic half-wrap wrist strap for a perfect fit. Durable Soft Grip latex in the palm helps with every spectacular parry and confident catch. The fingers have a roomy positive cut for no-distraction keeping.",Gloves
6,X Crazyfast+ Firm Ground Cleats,$300 ,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/0835cbe920094811b1acd5e3566bee6a_9366/x-crazyfast-plus-firm-ground-cleats.jpg","FEATHERWEIGHT CLEATS FOR LIGHTNING MOVEMENT, MADE IN PART WITH RECYCLED MATERIALS.
Engineered for speed, the X isn't just fast. It's Crazyfast. Built with all the specifications needed to gain that peak acceleration, quick just got quicker.",Shoes
7,Predator 24 Elite Low Firm Ground Cleats,$260 ,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/c3523dd33a45420e950461fc6802cfe4_9366/predator-24-elite-low-firm-ground-cleats.jpg","GRIPPY CLEATS FOR ACCURACY IN FRONT OF GOAL, MADE IN PART WITH RECYCLED MATERIALS.
Predator is crafted for one thing: goals. Packed with the latest goal-scoring technology, get ready to send your swerve, power, and control off the charts.",Shoes
8,Predator 24 Elite Turf Cleats,$140 ,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/8756149152064957b81c3b4d695f53e1_9366/predator-24-elite-turf-cleats.jpg","GRIPPY CLEATS FOR ACCURACY IN FRONT OF GOAL, MADE IN PART WITH RECYCLED MATERIALS.
The game's all about goals, and these soccer cleats are crafted to find the net. Every. Time. Target perfection in all-new adidas Predator. A HybridTouch 2.0 upper delivers supreme flexibility. Strategically placed onto it, rubber Strikeskin fins add biting grip for precision shooting. The low-profile Lightstrike midsole and lug rubber outsole ensure you're always ready to strike on artificial turf.

This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.",Shoes
9,X Crazyfast Elite Turf Cleats,$140 ,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/9e53d2365dba4f5b87281b5a644da3b0_9366/x-crazyfast-elite-turf-cleats.jpg","SUPER-LIGHT CLEATS FOR RAPID SPEEDS, MADE IN PART WITH RECYCLED MATERIALS.
Nothing beats the rush of pure speed. Change the game in an instant and leave defenders trailing with lightweight adidas X Crazyfast. Looking slick with a semi-translucent Aeropacity Speedskin upper, these artificial turf soccer cleats include reinforcements only where they're needed. A low-profile Lightstrike midsole keeps you acting on instinct.

This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.",Shoes
10,Copa Pure II Pro Firm Ground Cleats,$140 ,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/15a6f7b63771432db7b1cd291baef3bb_9366/copa-pure-ii-pro-firm-ground-cleats.jpg","LEATHER CLEATS FOR ASSURED SOCCER, MADE IN PART WITH RECYCLED MATERIALS.
To truly run a game, you need to keep your teammates close and the ball closer. Find the freedom to conduct play in comfortable, classy adidas Copa Pure II. Built for soccer purists, these cleats deliver a classic feel and modern performance. The Fusionskin leather forefoot offers a cushioned touch. A specialist outsole adds solid traction on firm ground.

This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.",Shoes
11,Spain 24 Home Jersey,$100 ,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/96ee28c6c99045b284b5b71eefd7a33a_9366/spain-24-home-jersey.jpg","A JERSEY IN SPAIN'S HOME COLORS, MADE WITH RECYCLED MATERIALS.
Their soccer roots run deep. Inspired by the beauty of Spain's national flower and the rhythmical movement of ocean waves, this adidas Spain home jersey displays an eye-catching tonal graphic. Built for supporter comfort and pride, it teams moisture-managing AEROREADY with a woven badge and carnation sign-off.

This product is made with 100% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.",Jersey
